"","","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)"
"Israel"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Italy"," 2015","100.0","100.0","100.0","99.6","99.5","99.5"
"Italy"," 2000","100.0","100.0","100.0","99.6","99.5","99.5"
"Italy"," 1990","100.0","100.0","100.0","99.6","99.5","99.5"
"Jamaica"," 2015","89.4","97.5","93.8","84.1","79.9","81.8"
"Jamaica"," 2000","88.9","97.7","93.5","82.2","79.3","80.7"
"Jamaica"," 1990","88.5","97.9","93.1","80.8","78.8","79.8"
"Japan"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Japan"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
"Japan"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Jordan"," 2015","92.3","97.8","96.9","98.9","98.6","98.6"
"Jordan"," 2000","91.0","98.2","96.8","96.1","98.3","97.8"
"Jordan"," 1990","90.2","98.5","96.3","95.0","98.2","97.3"
"Kazakhstan"," 2015","85.6","99.4","92.9","98.1","97.0","97.5"
"Kazakhstan"," 2000","88.5","98.0","93.8","97.1","96.5","96.8"
"Kazakhstan"," 1990","89.9","97.3","94.1","96.6","96.2","96.4"
"Kenya"," 2015","56.8","81.6","63.2","29.7","31.2","30.1"
"Kenya"," 2000","42.9","87.5","51.8","26.5","28.5","26.9"
"Kenya"," 1990","33.0","91.6","42.8","24.2","26.6","24.6"
"Kiribati"," 2015","50.6","87.3","66.9","30.6","51.2","39.7"
"Kiribati"," 2000","42.7","80.3","58.9","24.7","46.9","34.2"
"Kiribati"," 1990","36.1","74.5","49.6","19.7","43.3","28.0"
"Kuwait"," 2015","99.0","99.0","99.0","100.0","100.0","100.0"
"Kuwait"," 2000","99.0","99.0","99.0","100.0","100.0","100.0"
"Kuwait"," 1990","99.0","99.0","99.0","100.0","100.0","100.0"
"Kyrgyzstan"," 2015","86.2","96.7","90.0","95.6","89.1","93.3"
"Kyrgyzstan"," 2000","68.8","96.2","78.4","91.8","91.7","91.8"
"Kyrgyzstan"," 1990","61.8","95.9","74.7","90.3","92.8","91.2"
"Lao People's Democratic Republic"," 2015","69.4","85.6","75.7","56.0","94.5","70.9"
"Lao People's Democratic Republic"," 2000","37.9","72.2","45.5","17.2","66.1","28.0"
"Latvia"," 2015","98.3","99.8","99.3","81.5","90.8","87.8"
"Latvia"," 2000","95.4","99.6","98.3","70.8","86.9","81.7"
"Latvia"," 1990","95.4","99.6","98.3","","",""
"Lebanon"," 2015","99.0","99.0","99.0","80.7","80.7","80.7"
"Lebanon"," 2000","85.7","85.7","85.7","82.7","82.7","82.7"
"Lesotho"," 2015","77.0","94.6","81.8","27.6","37.3","30.3"
"Lesotho"," 2000","75.5","93.2","79.0","21.1","35.1","23.9"
"Lesotho"," 1990","74.9","92.6","77.4","","",""
"Liberia"," 2015","62.6","88.6","75.6","5.9","28.0","16.9"
"Liberia"," 2000","51.4","76.2","62.4","3.8","24.8","13.1"
"Liberia"," 1990","","","","3.6","",""
"Libya"," 2015","","","","95.7","96.8","96.6"
"Libya"," 2000","68.4","72.1","71.2","95.7","96.8","96.5"
"Libya"," 1990","68.4","72.1","71.2","95.7","96.8","96.5"
"Lithuania"," 2015","90.4","99.7","96.6","82.8","97.2","92.4"
"Lithuania"," 2000","79.8","96.5","91.0","72.7","93.4","86.6"
"Lithuania"," 1990","72.3","94.3","87.2","66.0","90.8","82.8"
"Luxembourg"," 2015","100.0","100.0","100.0","98.5","97.5","97.6"
"Luxembourg"," 2000","100.0","100.0","100.0","98.8","97.5","97.7"
"Luxembourg"," 1990","100.0","100.0","100.0","98.9","97.5","97.8"
"Madagascar"," 2015","35.3","81.6","51.5","8.7","18.0","12.0"
"Madagascar"," 2000","24.0","75.5","38.0","8.0","16.4","10.3"
"Madagascar"," 1990","16.5","71.4","29.5","7.6","15.3","9.4"
"Malawi"," 2015","89.1","95.7","90.2","39.8","47.3","41.0"
"Malawi"," 2000","57.3","92.9","62.5","32.2","46.2","34.3"
"Malawi"," 1990","36.1","91.1","42.5","27.2","45.5","29.3"
"Malaysia"," 2015","93.0","100.0","98.2","95.9","96.1","96.0"
"Malaysia"," 2000","88.6","97.4","94.1","88.5","92.8","91.2"
"Malaysia"," 1990","85.5","95.2","90.3","82.7","89.8","86.2"
"Maldives"," 2015","97.9","99.5","98.6","98.3","97.5","97.9"
"Maldives"," 2000","93.3","99.9","95.2","72.5","97.7","79.4"
"Maldives"," 1990","90.8","100.0","93.2","57.6","97.7","68.0"
"Mali"," 2015","64.1","96.5","77.0","16.1","37.5","24.7"
"Mali"," 2000","37.2","70.4","46.6","11.9","33.4","18.0"
"Mali"," 1990","19.3","53.0","27.1","9.0","30.7","14.1"
"Malta"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Malta"," 2000","99.7","100.0","100.0","100.0","100.0","100.0"
"Malta"," 1990","98.3","100.0","99.8","100.0","100.0","100.0"
"Marshall Islands"," 2015","97.6","93.5","94.6","56.2","84.5","76.9"
"Marshall Islands"," 2000","95.8","91.9","93.1","47.6","80.4","70.1"
"Marshall Islands"," 1990","94.4","90.7","92.0","41.0","77.3","64.6"
"Mauritania"," 2015","57.1","58.4","57.9","13.8","57.5","40.0"
"Mauritania"," 2000","38.9","45.3","42.0","9.1","38.8","23.7"
"Mauritania"," 1990","24.9","35.2","29.1","6.5","28.7","15.6"
"Mauritius"," 2015","99.8","99.9","99.9","92.6","93.9","93.1"
"Mauritius"," 2000","98.9","99.8","99.2","89.8","93.4","91.4"
"Mauritius"," 1990","98.7","99.7","99.2","89.4","93.3","91.1"
"Mexico"," 2015","92.1","97.2","96.1","74.5","88.0","85.2"
"Mexico"," 2000","73.0","93.8","88.6","51.2","82.7","74.7"
"Mexico"," 1990","59.4","91.5","82.3","34.5","78.9","66.2"
"Micronesia (Federated States of)"," 2015","87.4","94.8","89.0","49.0","85.1","57.1"
"Micronesia (Federated States of)"," 2000","89.0","94.1","90.1","25.0","63.7","33.6"
"Micronesia (Federated States of)"," 1990","90.1","93.6","91.0","9.0","49.4","19.4"
"Monaco"," 2015","","100.0","100.0","","100.0","100.0"
"Monaco"," 2000","","100.0","100.0","","100.0","100.0"
"Monaco"," 1990","","100.0","100.0","","100.0","100.0"
"Mongolia"," 2015","59.2","66.4","64.4","42.6","66.4","59.7"
"Mongolia"," 2000","32.4","74.2","56.3","25.8","65.1","48.2"
"Mongolia"," 1990","21.7","77.3","53.4","","64.7",""
"Montenegro"," 2015","99.2","100.0","99.7","92.2","98.0","95.9"
"Montenegro"," 2000","94.5","99.0","97.1","87.0","90.8","89.2"
"Montenegro"," 1990","","99.0","","","",""
"Morocco"," 2015","65.3","98.7","85.4","65.5","84.1","76.7"
"Morocco"," 2000","58.3","95.8","78.3","43.1","82.2","64.0"
"Morocco"," 1990","53.0","93.6","72.6","25.8","80.7","52.4"
"Mozambique"," 2015","37.0","80.6","51.1","10.1","42.4","20.5"
"Mozambique"," 2000","27.3","74.8","41.1","4.7","36.9","14.1"
"Mozambique"," 1990","22.8","72.2","35.1","2.2","34.4","10.3"
"Myanmar"," 2015","74.4","92.7","80.6","77.1","84.3","79.6"
"Myanmar"," 2000","59.9","84.6","66.6","55.8","78.6","61.9"
"Myanmar"," 1990","51.5","79.9","58.5","","",""
"Namibia"," 2015","84.6","98.2","91.0","16.8","54.5","34.4"
"Namibia"," 2000","68.9","98.5","78.5","12.6","58.4","27.4"
"Namibia"," 1990","58.4","98.7","69.6","9.8","61.0","24.0"
"Nauru"," 2015","","96.5","96.5","","65.6","65.6"
"Nauru"," 2000","","93.0","93.0","","65.7","65.7"
"Nauru"," 1990","","","","","65.7","65.7"
"Nepal"," 2015","91.8","90.9","91.6","43.5","56.0","45.8"
"Nepal"," 2000","74.5","94.3","77.1","18.3","43.6","21.7"
"Nepal"," 1990","62.9","96.5","65.9","1.5","35.4","4.5"
"Netherlands"," 2015","100.0","100.0","100.0","99.9","97.5","97.7"
"Netherlands"," 2000","100.0","100.0","100.0","99.9","97.5","98.1"
"Netherlands"," 1990","100.0","100.0","100.0","99.9","97.5","98.3"
"New Zealand"," 2015","100.0","100.0","100.0","","",""
"New Zealand"," 2000","100.0","100.0","100.0","","",""
"New Zealand"," 1990","100.0","100.0","100.0","88.0","",""
"Nicaragua"," 2015","69.4","99.3","87.0","55.7","76.5","67.9"
"Nicaragua"," 2000","60.1","94.4","78.9","39.0","67.2","54.4"
"Nicaragua"," 1990","53.0","90.6","72.7","26.1","60.1","43.9"
"Niger"," 2015","48.6","100.0","58.2","4.6","37.9","10.9"
"Niger"," 2000","37.0","78.0","43.7","2.6","26.8","6.6"
"Niger"," 1990","28.8","61.1","33.7","1.2","18.9","3.9"
"Nigeria"," 2015","57.3","80.8","68.5","25.4","32.8","29.0"
"Nigeria"," 2000","37.7","78.2","51.8","33.1","35.8","34.0"
"Nigeria"," 1990","24.6","76.4","39.9","38.2","37.7","38.1"
"Niue"," 2015","98.6","98.4","98.5","100.0","100.0","100.0"
"Niue"," 2000","99.0","99.0","99.0","79.2","79.3","79.3"
"Niue"," 1990","99.1","99.2","99.1","","",""
"Norway"," 2015","100.0","100.0","100.0","98.3","98.0","98.1"
"Norway"," 2000","100.0","100.0","100.0","98.3","98.0","98.1"
"Norway"," 1990","100.0","100.0","100.0","98.3","98.0","98.1"
"Oman"," 2015","86.1","95.5","93.4","94.7","97.3","96.7"
"Oman"," 2000","75.4","87.4","84.0","71.0","96.1","89.0"
"Oman"," 1990","70.0","83.4","78.8","55.3","95.3","81.8"
"Pakistan"," 2015","89.9","93.9","91.4","51.1","83.1","63.5"
"Pakistan"," 2000","85.0","95.4","88.5","19.6","71.6","36.9"
"Pakistan"," 1990","81.8","96.5","86.3","4.9","66.2","23.7"
"Palau"," 2015","","97.0","","100.0","100.0","100.0"
"Palau"," 2000","80.4","97.3","92.2","63.4","88.6","81.0"
"Palau"," 1990","72.4","97.7","90.0","7.8","63.4","46.5"
